Date Done,Well No,SITHP,Start Pressure,End Pressure,Closing Time (secs) / Returns ml,Pressure Test as Left,Pressure Test as Found
03-Apr-11,113/26a-P3,525.0,,15.0,,1,Pass
01-Apr-12,113/26a-P1,300.0,0.0,28.0,,1,Pass
01-Apr-12,113/26a-P4,390.0,0.0,10.0,,1,Pass
02-Apr-12,113/26a-P2,425.0,0.0,28.0,,1,Pass
25-Feb-13,113/26a-P1,0.0,0.0,0.0,24,1,Pass
25-Feb-13,113/26a-P2,0.0,0.0,1.0,24,1,Pass
05-Jul-13,113/26a-P3,300.0,3.0,11.0,,1,Pass
06-Jul-13,113/26a-P2,320.0,0.0,37.0,,1,Pass
07-Jul-13,113/26a-P4,320.0,0.0,38.0,-,1,Pass
08-Jul-13,113/26a-P1,280.0,0.0,38.0,-,1,Pass
28-Mar-14,113/26a-P3,350.0,6.0,9.0,,1,Pass
29-Mar-14,113/26a-P1,252.0,94.0,94.0,40,1,Pass
02-Apr-14,113/26a-P2,332.0,8.0,26.0,,1,Pass
02-Apr-14,113/26a-P4,214.0,6.0,26.0,37,1,Pass
14-Apr-15,113/26a-P1,253.0,20.0,20.0,30,1,Pass
15-Apr-15,113/26a-P3,300.0,0.0,0.0,10,1,Pass
17-Apr-15,113/26a-P4,254.0,4.0,20.0,,1,Pass
18-Apr-15,113/26a-P2,336.0,8.0,24.0,,1,Pass
11-Mar-16,113/26a-P3,367.0,22.0,31.0,1,1,Pass
16-Mar-16,113/26a-P4,228.0,0.0,12.0,1,1,Pass
18-Mar-16,113/26a-P1,238.0,100.0,238.0,,0,Fail
22-Mar-16,113/26a-P2,350.0,4.0,60.0,1,1,Pass
29-Oct-16,113/26a-P1,377.0,14.0,220.0,,0,Fail
29-Oct-16,113/26a-P2,377.0,0.0,29.4,,1,Pass
29-Oct-16,113/26a-P4,377.0,0.0,14.7,,1,Pass
04-Nov-16,113/26a-P1,377.0,0.0,0.0,,1,Pass
04-Nov-16,113/26a-P3,391.0,0.0,0.0,,1,Pass
13-Nov-16,113/26a-P1,377.0,0.0,14.5,,1,Pass
02-Apr-17,113/26a-P3,369.0,7.0,24.0,,1,Pass
03-Apr-17,113/26a-P1,358.0,4.0,12.0,,1,Pass
03-Apr-17,113/26a-P2,370.0,7.0,24.0,,1,Pass
03-Apr-17,113/26a-P4,365.0,4.0,12.0,,1,Pass
20-Oct-17,113/26a-P1,352.0,0.0,5.0,7,1,Pass
20-Oct-17,113/26a-P2,380.0,0.0,21.0,7,1,Pass
20-Oct-17,113/26a-P3,370.0,0.0,3.0,6,1,Pass
20-Oct-17,113/26a-P4,368.0,0.0,4.0,8,1,Pass
25-Mar-18,113/26a-P1,251.0,0.0,8.0,3,1,Pass
26-Mar-18,113/26a-P2,321.0,0.0,28.0,3,1,Pass
26-Mar-18,113/26a-P3,320.0,0.0,0.0,3,1,Pass
27-Mar-18,113/26a-P4,342.0,2.0,8.0,3,1,Pass
28-Oct-18,113/26a-P1,260.7,31.6,260.7,3,0,Fail
28-Oct-18,113/26a-P2,368.0,33.8,75.5,3,1,Pass
28-Oct-18,113/26a-P4,167.0,28.7,35.6,3,1,Pass
05-Apr-19,113/26a-P2,360.0,16.0,43.0,3,1,Pass
05-Apr-19,113/26a-P3,387.0,0.0,2.0,3,1,Pass
06-Apr-19,113/26a-P1,290.0,26.0,160.0,3,0,Fail
07-Apr-19,113/26a-P4,280.0,22.0,32.0,3,1,Pass
24-Oct-19,113/26a-P1,362.0,0.0,9.0,,1,Pass
25-Oct-19,113/26a-P2,280.0,0.0,12.0,3,1,Pass
25-Oct-19,113/26a-P3,379.0,0.0,3.0,3,1,Pass
25-Oct-19,113/26a-P4,254.0,0.0,12.0,3,1,Pass
04-Jun-20,113/26a-P3,344.0,3.0,4.0,3,1,Pass
09-Jun-20,113/26a-P4,290.0,3.0,18.0,3,1,Pass
11-Jun-20,113/26a-P1,306.0,1.0,6.0,3,1,Pass
11-Jun-20,113/26a-P2,351.0,3.0,74.0,3,1,Fail
